state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
AK,Alaska,2018,18.58,53957,4.119302949061662,22,1,23,3.1143536497516644,0.043478260869565216,0.1676186033235557,738516.0,76715.0,34.0,0.8102178586665254,0.11922964431373186,0.013379534092693997,11.247852535379305,13.51239804625713
AK,Alaska,2019,19.8,55080,4.180965147453083,25,4,29,3.9345080779521022,0.13793103448275862,0.1987125291895001,737068.0,77640.0,34.3,0.8093462401795735,0.11947065942355387,0.013576766322781616,11.259838037282947,13.510435432858246
AK,Alaska,2020,19.58,61993,3.556300268096515,46,6,52,7.055726672003691,0.11538461538461539,0.3603537626151017,736990.0,77790.0,34.6,0.8021099243853643,0.12233680239894706,0.013206420711271523,11.26176816720082,13.51032960255839
AK,Alaska,2021,19.61,56005,4.640750670241286,60,15,75,10.190895861273372,0.2,0.5196785242872703,735951.0,80287.0,35.0,0.7934385002286237,0.12594724377030536,0.013998214555045106,11.293362993927163,13.508918819407771
AK,Alaska,2022,20.06,56372,6.18230563002681,79,31,110,14.96963206005272,0.2818181818181818,0.7462428743794975,734821.0,86370.0,35.3,0.7812269452839486,0.12757392616705293,0.014221150457050084,11.366395672274331,13.507382211119955
AL,Alabama,2018,11.24,371097,2.7345844504021444,1032,296,1328,27.298815132752825,0.22289156626506024,2.428720207540287,4864680.0,48486.0,38.9,0.9429563064084097,0.10595619855776742,0.007826825197135269,10.789030375461502,15.397511495488242
AL,Alabama,2019,11.52,369798,2.5428954423592494,1156,296,1452,29.77698026147142,0.20385674931129477,2.5848073143638386,4876250.0,50536.0,39.0,0.9422190835629443,0.10852150730581903,0.007572827480133299,10.830441232578536,15.399887039803003
AL,Alabama,2020,11.55,371888,2.079088471849866,1348,408,1756,35.886639093629384,0.23234624145785876,3.1070683197947515,4893186.0,52035.0,39.2,0.9321509453773993,0.11172148371224801,0.007493073020318459,10.85967184807196,15.403354183037424
AL,Alabama,2021,11.84,376180,2.986595174262735,1616,524,2140,42.81991125873531,0.24485981308411214,3.6165465590148065,4997675.0,54943.0,39.3,0.9203558621383592,0.11277804178943208,0.007001655769933019,10.914051563182127,15.424483362252348
AL,Alabama,2022,13.16,380269,3.8873994638069704,1656,572,2228,44.31104283692502,0.25673249551166966,3.3671005195231776,5028092.0,59609.0,39.3,0.9093542680533797,0.1138109644771814,0.007177672962229012,10.995561848364485,15.430551146058688
AR,Arkansas,2018,7.75,196482,2.766756032171582,364,36,400,13.374924891437407,0.09,1.725796760185472,2990671.0,45726.0,37.9,0.9328040792312218,0.0965402078663952,0.006532313316978029,10.730422342894173,14.911008334905373
AR,Arkansas,2019,8.78,198861,2.5723860589812335,428,68,496,16.53680606260648,0.13709677419354838,1.8834631050804649,2999370.0,47597.0,38.1,0.9324205955392794,0.09910414520382614,0.006289987564055118,10.770525013023255,14.913912824579297
AR,Arkansas,2020,8.61,197869,2.1032171581769434,464,100,564,18.725889172617837,0.1773049645390071,2.1749000200485296,3011873.0,49475.0,38.3,0.9254900567413795,0.10247709647783954,0.006104839081860357,10.809222770470766,14.918072702338332
AR,Arkansas,2021,9.56,201408,3.0227882037533513,636,128,764,25.41322265941392,0.16753926701570682,2.658286889060033,3006309.0,52123.0,38.3,0.9144507073343733,0.10428967880547209,0.006079548043797228,10.861361589060426,14.91622363842325
AR,Arkansas,2022,10.26,203432,3.932975871313673,930,160,1090,36.10862933299411,0.14678899082568808,3.5193595841124865,3018669.0,56335.0,38.4,0.9028574846405599,0.1051579355007124,0.006172587984969535,10.939071290598266,14.92032656372489
AZ,Arizona,2018,10.64,322135,3.3136729222520107,3224,1640,4864,70.01900906691465,0.3371710526315789,6.580733934860399,6946685.0,56213.0,37.4,0.8750606157395852,0.12021849270551349,0.005948880653146069,10.936903325858172,15.753775125333318
AZ,Arizona,2019,10.25,326191,3.363270777479893,3440,2312,5752,81.5851923443247,0.4019471488178025,7.9595309604219215,7050299.0,58945.0,37.7,0.8726527630996358,0.1233212946004134,0.00593293986538727,10.984360084726228,15.768580585236633
AZ,Arizona,2020,10.11,331229,2.8605898123324396,3440,2312,5752,80.17770680607254,0.4019471488178025,7.930534797831112,7174064.0,61529.0,37.9,0.8519664225148019,0.12701698786071605,0.005858882775509112,11.027263887367784,15.785982858138558
AZ,Arizona,2021,10.33,335377,3.7332439678284186,3440,2312,5752,81.2520844507496,0.4019471488178025,7.865642250798607,7079203.0,65913.0,38.1,0.8277778495208212,0.13042979555749426,0.005983159403678635,11.09609096962448,15.772671888711885
AZ,Arizona,2022,10.8,340035,4.97319034852547,3464,2312,5776,80.53224901084481,0.4002770083102493,7.45668972322637,7172282.0,72581.0,38.4,0.8045801112618315,0.13363208529725965,0.00616582002771224,11.192458458572395,15.785734432510296
CA,California,2018,16.34,1714875,3.765415549597855,0,0,0,0.0,,0.0,39148760.0,71228.0,36.3,0.8399937489572985,0.13910481455862203,0.0047668176463315825,11.173641278521204,17.48287930684712
CA,California,2019,16.67,1718601,3.900804289544236,0,0,0,0.0,,0.0,39283497.0,75235.0,36.5,0.8384480051320516,0.14263106464274297,0.004733667168174972,11.228371827192978,17.486315064982737
CA,California,2020,17.53,1725533,3.3230563002680964,0,0,0,0.0,,0.0,39346023.0,78672.0,36.7,0.8203520064702138,0.14651612947006104,0.004883136473538888,11.273042589651721,17.487905460375693
CA,California,2021,19.18,1750923,4.351206434316354,0,0,0,0.0,,0.0,39455353.0,84097.0,37.0,0.7974637586433562,0.148405287363669,0.00494467759545834,11.339726173505522,17.49068028679878
